"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","4","Mar 16, 2023","9:23:12 AM","97.08740000000002","2.0593416666666666","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Mar 16, 2023","","","","","","","","","","","CM: Green turtle","","","c126fc69a451425c9f74384330422cde"
"Patrol","3","Mar 16, 2023","9:16:31 AM","97.085635","2.0610166666666667","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-A: false crawl with nesting attempt","Amandangan","","","","","","Mar 16, 2023","","","","","A: above high tide","","","","","","CM: Green turtle","","","9eb3fb5f105645bb9f42671f24f960f3"
"Patrol","2","Mar 16, 2023","9:14:09 AM","97.08537499999998","2.0609783333333334","Jul 4, 2023, 9:20:38 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","","Mar 16, 2023","","","","","","","","","","","CM: Green turtle","","","12355ba686314610a2dcdae9c06e7967"
"Patrol","5","Mar 15, 2023","11:31:07 PM","97.08850833333332","2.057485","Jul 4, 2023, 9:20:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","101.0","102.0","","","Mar 15, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","2ea27b2ca7734950b8ec65c5131edcea"
"Patrol","4","Mar 15, 2023","11:22:32 PM","97.089665","2.0563516666666666","Jul 4, 2023, 9:20:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","108.0","105.0","","","Mar 15, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","54d78669ed2642239d917fade5b94b91"
"Patrol","3","Mar 15, 2023","10:13:46 PM","97.09068333333335","2.0551416666666666","Jul 4, 2023, 9:20:27 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","101.0","86.0","","","Mar 15, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","6873efca2b194030a786d51eb7a58491"
"Patrol","2","Mar 15, 2023","9:51:26 PM","97.08788333333332","2.0583533333333337","Jul 4, 2023, 9:20:26 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","108.0","102.0","","","Mar 15, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","5c0c2c41d676474eb829a25aa122f7f3"
"Patrol","8","Mar 15, 2023","3:37:37 PM","97.09103333333333","2.05411","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","","Amandangan","","","","","","Mar 15, 2023","","","","","","","","","","","","","","6c303964e0f046868bc9b7631686ebb5"
"Patrol","7","Mar 15, 2023","3:18:45 PM","97.09116999999999","2.0537766666666664","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","","Mar 15, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","7e963644f9ab459ca1b58daaf643fd7b"
"Patrol","6","Mar 15, 2023","3:12:17 PM","97.09014833333335","2.05567","Jul 4, 2023, 9:20:20 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","","","","","Mar 15, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","8bdc1b3da2a240079e5749d47cd8a179"
