Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Date;Date;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;2;21-May-23;3:00:25 PM;9708710666666660,00;20597116666666600,00;Jul 4, 2023, 9:37:54 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;21-May-23;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;;CM: Green turtle;;;b12d07eb6c6c49e289bb8417455b0e0f
Patrol;13;20-May-23;5:23:28 PM;9709135833333330,00;20532483333333300,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;Yes;CM: Green turtle;;;c01790c8e1534889b9d2d5d78722ac8c
Patrol;12;20-May-23;5:21:24 PM;97091315,00;20533733333333300,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;20-May-23;;;;;;;;;;CM: Green turtle;;;047a28cacb624f5796a8eed03f9e2942
Patrol;11;20-May-23;5:17:59 PM;9709095666666660,00;2054511666666660,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;f8d0f0069dee4eae897b6d0e2b7034a4
Patrol;10;20-May-23;5:14:30 PM;9709048166666660,00;20553833333333300,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;5c3bbd9877874e48a17bbc1390f8e618
Patrol;9;20-May-23;5:12:35 PM;97090315,00;20555066666666600,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;b7bae1f3b0004cb0bdb0e595484f3a35
Patrol;8;20-May-23;5:10:08 PM;9709005833333330,00;20559000000000000,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;aadfee8a00d54aa995cba5f07ad05097
Patrol;7;20-May-23;5:08:21 PM;9708991333333330,00;2056058333333330,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;912fad3ed3284c52ab348263d533f2fb
Patrol;6;20-May-23;5:03:53 PM;9708900166666660,00;2056945,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;20-May-23;;;;G: dune in grass;A: above high tide;;;2h;;CM: Green turtle;;;8ac6bc6ec79e49c9b5ff158d886bd073
Patrol;5;20-May-23;4:59:59 PM;9708843,00;20575683333333300,00;Jul 4, 2023, 9:37:41 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;20-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;;;CM: Green turtle;;;b54342e6f5834d80948c274505bb74e6
