Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;4;6-Jun-23;10:11:11 AM;97089395,00;205655,00;Jun 19, 2023, 7:27:09 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;6-Jun-23;;;;;;;;;;CM: Green turtle;;;;611d22c8cd5a4a8e881e64e1c6557bed
Patrol;3;6-Jun-23;10:05:25 AM;9708805833333330,00;2058135,00;Jun 19, 2023, 7:27:09 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;6-Jun-23;;;;;;;;;;CM: Green turtle;;;;5b211e295c7f4a358c6b124ae06087b0
Patrol;2;6-Jun-23;10:03:24 AM;9708762499999990,00;20586766666666600,00;Jun 19, 2023, 7:27:09 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;6-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;e389837cc82a4e499d55155ccf086093
Patrol;5;5-Jun-23;10:15:34 PM;9709099499999990,00;20542616666666600,00;Jun 19, 2023, 7:27:05 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;105.0;95.0;;;5-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;3d533347fafe4256bcb87011f5d72377
Patrol;4;5-Jun-23;10:09:26 PM;9709003833333330,00;2055648333333330,00;Jun 19, 2023, 7:27:05 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;102.0;91.0;;;5-Jun-23;;;;;D: dune sand (area on top of dune);BL: below tidal line;;;;CM: Green turtle;;;;5a28955579914d15b532d023937489f4
Patrol;3;5-Jun-23;10:05:48 PM;97089395,00;20565516666666600,00;Jun 19, 2023, 7:27:05 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;105.0;96.0;;;5-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;3ae573ffcf14462193f7d8ccaa18d984
Patrol;2;5-Jun-23;9:57:32 PM;9708776333333330,00;20582183333333300,00;Jun 19, 2023, 7:27:05 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;5-Jun-23;;;;;;;;;;CM: Green turtle;;;;cb18f0a3e12948c6a8e80f9bdbd6c9c9
Patrol;7;5-Jun-23;8:00:53 AM;9709118500000000,00;20537583333333300,00;Jun 19, 2023, 7:26:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;d3b58fb384234b099e06fcf32ce744a9
Patrol;6;5-Jun-23;7:59:58 AM;9709106666666660,00;205377,00;Jun 19, 2023, 7:26:59 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Amandangan;;;;;;5-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;23a8a7838cb2425b8f71b4473f9adea7
Patrol;5;5-Jun-23;7:57:52 AM;9709086666666660,00;20544716666666600,00;Jun 19, 2023, 7:26:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;be4922e0df264be89f99615b2316a11f
Patrol;4;5-Jun-23;7:54:23 AM;9709003,00;20557516666666600,00;Jun 19, 2023, 7:26:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Jun-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;CM: Green turtle;;;;f1bc0d1070294eecb88b0105fc26614f
Patrol;3;5-Jun-23;7:50:48 AM;9708877,00;205711,00;Jun 19, 2023, 7:26:59 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;5-Jun-23;;;;;;;;;;CM: Green turtle;;;;d60e2411142c4e178809860287187699
Patrol;2;5-Jun-23;7:45:23 AM;9708728333333330,00;2059536666666660,00;Jun 19, 2023, 7:26:58 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;5-Jun-23;;;;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;;295a58ec391c4d4db2ebb4e6bc47e4e6
