Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;7;1-Apr-23;7:57:11 AM;9709086333333330,00;2054825,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;1-Apr-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;7692510465ed45a4a89d0130fa538108
Patrol;6;1-Apr-23;7:54:59 AM;9709075166666660,00;2054918333333330,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Bird's monitoring;;;;;;;;;1-Apr-23;;;;;;;;;;;;;;;d3ceecf9374d4e2ea496eb245077b7a0
Patrol;5;1-Apr-23;7:50:56 AM;9709075333333330,00;2054936666666660,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;1-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;dd31ea85d3ca4546916334a4f2f1f644
Patrol;4;1-Apr-23;7:43:37 AM;9708897166666660,00;20568916666666600,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;1-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;aca37c78967043f2a97450fa8daa801d
Patrol;3;1-Apr-23;7:35:29 AM;9708749666666660,00;20589566666666600,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;1-Apr-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;397c5ad9cefc429c89b9ddec77774baa
Patrol;2;1-Apr-23;7:09:40 AM;9708160166666660,00;2066195,00;Apr 15, 2023, 10:54:13 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Pantai pelanggaran;;;;;;1-Apr-23;;;56.0;;G: dune in grass;A: above high tide;;;;;;CM: Green turtle;;;4.0;d7b4295f2d6f4d62bca1c7306bd577d7
Patrol;4;31-Mar-23;11:12:47 PM;9709121333333330,00;20538266666666600,00;Apr 15, 2023, 10:53:46 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;;;31-Mar-23;;;;;;;;;;;;CM: Green turtle;;;;877d710d2ac7487aa430bd3bdc6b29ec
Patrol;3;31-Mar-23;11:04:46 PM;9708980666666660,00;20561599999999900,00;Apr 15, 2023, 10:53:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;;ef416ffeeecd4cc688fb1451fadbdf5e
Patrol;2;31-Mar-23;10:57:32 PM;9708759833333330,00;20587666666666600,00;Apr 15, 2023, 10:53:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;d407b8a4b704495ca6a63290d4eb0be7
Patrol;7;31-Mar-23;7:44:53 AM;9709126666666660,00;20526116666666600,00;Apr 15, 2023, 10:53:40 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;31-Mar-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;e134bfedea10436db2fddba22960c54b
